"Start Date & Time","End Date & Time","Elapsed Time","Elapsed in Decimal","Category","Client","Job","Description"
"2013-12-19 23:03","2013-12-20 06:30","7:27","7.45","Sleep","Not Specified","Not Specified",""
"2013-12-20 07:01","2013-12-20 07:17","0:16","0.27","Housework","Cleaning","Not Specified",""
"2013-12-20 09:32","2013-12-20 17:48","8:16","8.27","At Work","Dendreon","Not Specified",""
"2013-12-20 10:10","2013-12-20 13:26","1:24","1.40","Reading","Science Papers","Bioinformatics ",""
"2013-12-20 10:30","2013-12-20 11:35","1:02","1.03","Online Chatting","Parents","Not Specified",""
"2013-12-20 13:38","2013-12-20 14:45","0:43","0.72","Honest Work","Dendreon","Not Specified",""
"2013-12-20 14:22","2013-12-20 14:43","0:21","0.35","Rest=day sleep=nap","Not Specified","Not Specified",""
"2013-12-20 14:46","2013-12-20 17:30","2:05","2.08","Honest Work","Dendreon","Not Specified",""
"2013-12-20 17:48","2013-12-20 18:16","0:28","0.47","Listening","Books:fiction","Ocharovanniy Strannik",""
"2013-12-21 15:36","2013-12-21 23:22","0:42","0.70","Hobby","Scrapbooking","Toastmaster's Magazine",""
"2013-12-21 16:40","2013-12-21 17:59","1:19","1.32","Rest=day sleep=nap","Not Specified","Not Specified",""
"2013-12-21 23:23","2013-12-22 07:51","8:28","8.47","Sleep","Not Specified","Not Specified",""
